source,case_id,time,loss,output_increment_l2,max_depth_gram_increment_fro
PDE,C2,0.32,0.10545651096317894,0.5727425781242172,0.191582293182951
PDE,C2,0.36,0.08432698104516304,0.6213238663235794,0.22280365820976308
PDE,C2,0.4,0.06709825714856109,0.6656748632316148,0.252872429963615
PDE,C2,0.44,0.05313775549809379,0.7060091337012748,0.2814364299500593
PDE,C2,0.48,0.041894806183426586,0.7425496648801246,0.30825822139195097
PDE,C2,0.52,0.032893826305988534,0.7755289965860792,0.3331955148984267
PDE,C2,0.56,0.025727999443865224,0.8051871219462466,0.35618321810144415
PDE,C2,0.6,0.020052929046067015,0.831768098998867,0.37721717983806147
PDE,C2,0.64,0.015580124060041856,0.8555161351529986,0.39633975539486427
PDE,C2,0.68,0.012070399638261646,0.8766717102722228,0.41362730025504746
PDE,C2,0.72,0.009327375251939834,0.8954681119152476,0.4291796245271441
PDE,C2,0.76,0.007191267410563527,0.912128589722846,0.44311134908646665
PDE,C2,0.8,0.00553314077464501,0.9268642068695417,0.4555450249242556
PDE,C2,0.84,0.004249727785123902,0.9398723768211112,0.46660582251589167
PDE,C2,0.88,0.003258871493259672,0.9513360187250766,0.47641757044006694
PDE,C2,0.92,0.002495599134832298,0.9614232369607171,0.48509991784105483
PDE,C2,0.96,0.0019087990764351493,0.9702874216536713,0.49276640702182173
PDE,C2,1.0,0.0014584511749491905,0.9780676703739413,0.4995232639848836
PDE,C2,1.04,0.0011133484920810611,0.9848894414657359,0.5054687408756227
PDE,C2,1.08,0.0008492441688528311,0.9908653627788984,0.5106928713510203
PDE,C2,1.12,0.0006473586099322467,0.9960961335779367,0.5152775255878356
PDE,C2,1.16,0.0004931868632793048,1.0006714706720214,0.5192966746969142
PDE,C2,1.2,0.00037555260918532276,1.0046710615960661,0.5228167941881366
PDE,C2,1.24,0.0002858623676670594,1.0081654976826708,0.5258973527598082
PDE,C2,1.28,0.00021752065965819392,1.0112171680731226,0.5285913462634427
PDE,C2,1.32,0.00016547347996872115,1.0138811022512915,0.5309458475539596
PDE,C2,1.36,0.00012585333619267823,1.0162057537499418,0.5330025514627156
PDE,C2,1.4000000000000001,9.570419787293649e-05,1.0182337215022759,0.5347983007133491
PDE,C2,1.44,7.276899349044976e-05,1.020002408115885,0.5363655835965508
PDE,C2,1.48,5.5325849044347486e-05,1.021544616335581,0.5377329979456054
PDE,C2,1.52,4.206216551734288e-05,1.0228890863129496,0.5389256786793551
PDE,C2,1.56,3.1977975643127156e-05,1.0240609771627973,0.5399656881268239
PDE,C2,1.6,2.431189323776127e-05,1.0250822967818334,0.5408723697001755
PDE,C2,1.6400000000000001,1.8484453466205803e-05,1.0259722841304657,0.5416626663857163
PDE,C2,1.68,1.4054812269022576e-05,1.0267477482112253,0.5423514060911929
PDE,C2,1.72,1.06876895642602e-05,1.0274233678763942,0.5429515562112568
PDE,C2,1.76,8.128155304067226e-06,1.0280119564079087,0.5434744499205291
PDE,C2,1.8,6.182412273597883e-06,1.028524694568355,0.5439299867276538
PDE,C2,1.84,4.7031588842812535e-06,1.028971335547518,0.5443268097634996
PDE,C2,1.8800000000000001,3.5784465334580306e-06,1.0293603849423907,0.5446724621615935
PDE,C2,1.92,2.7232011320955325e-06,1.0296992586222367,0.5449735247403097
PDE,C2,1.96,2.0727742919303085e-06,1.0299944210526861,0.5452357370300028
PDE,C2,2.0,1.5780398535304533e-06,1.0302515063894155,0.5454641035149003
PDE,C2,2.04,1.2016664094157054e-06,1.0304754244059826,0.5456629867869024
PDE,C2,2.08,9.152843720977536e-07,1.030670453093476,0.5458361891414815
PDE,C2,2.12,6.973332556085593e-07,1.0308403195624238,0.5459870239878004
PDE,C2,2.16,5.314260420903205e-07,1.0309882706895723,0.5461183782979437
PDE,C2,2.2,4.0510653372341265e-07,1.0311171347830153,0.5462327671845509
PDE,C2,2.24,3.089053181540073e-07,1.0312293753876147,0.5463323815725944
PDE,C2,2.2800000000000002,2.3562260542389858e-07,1.0313271382175084,0.5464191298191613
PDE,C2,2.32,1.7978341221437898e-07,1.0314122920823383,0.5464946740345336
PDE,C2,2.36,1.3722366364879368e-07,1.0314864645674147,0.5465604617678529
