category,predictor_case,target_case,metric,raw,denominator,normalized,max_time,max_depth_index,max_depth_fraction,matched,case_id,inference_role,quantity,lcb,ucb,comparison_case,pass
pde_scramble,,,loss,3.469446951953614e-17,0.5325000000000001,6.515393337002091e-17,,,,,L2,,discrepancy,,,,True
pde_N32,,,gram,0.0027075603452772637,0.7638789359623858,0.0035444888159746127,,,,,C0,,discrepancy,,,,True
pde_N32,,,output,0.0007195643409092012,1.0319883720275145,0.0006972601246421955,,,,,C0,,discrepancy,,,,True
pde_N32,,,loss,0.00017751317745290374,0.5325000000000001,0.0003333580797237628,,,,,C0,,discrepancy,,,,True
pde_N32,,,gram,0.00026038439009916907,0.7638789359623858,0.0003408712792572548,,,,,C2,,discrepancy,,,,True
pde_N32,,,output,5.994218487629311e-05,1.0319883720275145,5.808416693545357e-05,,,,,C2,,discrepancy,,,,True
pde_N32,,,loss,1.5312503835684943e-05,0.5325000000000001,2.8755875747765147e-05,,,,,C2,,discrepancy,,,,True
pde_scramble_activation_contrast,,,gram,,,0.00372122251224742,,,,,C2,,activation_contrast_discrepancy,,,C0,True
pde_scramble_activation_contrast,,,output,,,0.0009520370779245157,,,,,C2,,activation_contrast_discrepancy,,,C0,True
pde_scramble_activation_contrast,,,loss,,,0.0002932292836541231,,,,,C2,,activation_contrast_discrepancy,,,C0,True
pde_scramble_activation_contrast,,,gram,,,0.0040989120441866774,,,,,C4,,activation_contrast_discrepancy,,,C0,True
pde_scramble_activation_contrast,,,output,,,0.0009321066249924499,,,,,C4,,activation_contrast_discrepancy,,,C0,True
pde_scramble_activation_contrast,,,loss,,,0.00037975824533137593,,,,,C4,,activation_contrast_discrepancy,,,C0,True
pde_N32_activation_contrast,,,gram,,,0.003248169832332375,,,,,C2,,activation_contrast_discrepancy,,,C0,True
pde_N32_activation_contrast,,,output,,,0.0006478856598709221,,,,,C2,,activation_contrast_discrepancy,,,C0,True
pde_N32_activation_contrast,,,loss,,,0.00030746409208332433,,,,,C2,,activation_contrast_discrepancy,,,C0,True
physical_depth_L64,,,gram,,,0.38551934518143666,,,,,C2,,separation,0.3582486935903584,0.4134418647892186,C0,
physical_depth_L64,,,gram,,,0.024476106987586982,,,,,C2,,matched_C2_error,-0.0016911717779257499,0.028432169210460257,C0,
physical_depth_L64,,,gram,,,0.3554043884983692,,,,,C2,,paired_L32_separation,0.3312107036695701,0.3808590545448028,C0,
physical_depth_L64,,,gram,,,1.0847343410989019,,,,,C2,,retention_ratio,0.94719822303828,1.2061974373326985,C0,
physical_width_n256,,,gram,,,0.3542322120721619,,,,,C2,,separation,0.33698733275429477,0.37306202826227175,C0,
physical_width_n256,,,gram,,,0.01825761027938399,,,,,C2,,matched_C2_error,-0.007639976421822563,0.026474179089787053,C0,
physical_width_n256,,,gram,,,0.36384990211428603,,,,,C2,,n128_L32_separation,,,C0,
physical_width_n256,,,gram,,,0.973566874729835,,,,,C2,,retention_ratio,,,C0,
