source,case_id,time,depth_index,depth_fraction,gram_increment_fro,gram_increment_normalized
dense,C0,1.8800000000000001,9,0.5625,0.5058717299392569,0.6622407113529395
dense,C0,1.8800000000000001,10,0.625,0.5392963241786449,0.7059971139264409
dense,C0,1.8800000000000001,11,0.6875,0.5743788072732131,0.7519238720067235
dense,C0,1.8800000000000001,12,0.75,0.6092169471764877,0.7975307584688868
dense,C0,1.8800000000000001,13,0.8125,0.6470481104148504,0.8470558356209364
dense,C0,1.8800000000000001,14,0.875,0.6842078533671088,0.8957019511280252
dense,C0,1.8800000000000001,15,0.9375,0.7222642056710438,0.9455218250796339
dense,C0,1.8800000000000001,16,1.0,0.7637659821782589,0.9998521313014286
dense,C0,1.92,0,0.0,0.24697519976407328,0.323317201374217
dense,C0,1.92,1,0.0625,0.2706410063505748,0.35429829729445694
dense,C0,1.92,2,0.125,0.2968019662790223,0.3885458183306119
dense,C0,1.92,3,0.1875,0.3243668375571853,0.42463121089800215
dense,C0,1.92,4,0.25,0.351453209460052,0.46009019612154606
dense,C0,1.92,5,0.3125,0.3792254941566162,0.4964471152471858
dense,C0,1.92,6,0.375,0.41063932195268,0.5375712074523028
dense,C0,1.92,7,0.4375,0.44049838471845615,0.5766599443712724
dense,C0,1.92,8,0.5,0.47209638848294366,0.6180251428037679
dense,C0,1.92,9,0.5625,0.5058849259014723,0.6622579862921925
dense,C0,1.92,10,0.625,0.5393104959138166,0.7060156662578438
dense,C0,1.92,11,0.6875,0.5743940325826327,0.7519438035805669
dense,C0,1.92,12,0.75,0.609233230835136,0.7975520755361362
dense,C0,1.92,13,0.8125,0.6470655154904746,0.8470786207440819
dense,C0,1.92,14,0.875,0.68422642208014,0.8957262595781696
dense,C0,1.92,15,0.9375,0.7222839587692996,0.9455476840179105
dense,C0,1.92,16,1.0,0.7637870550993603,0.9998797180303058
dense,C0,1.96,0,0.0,0.2469802060692772,0.32332375516823886
dense,C0,1.96,1,0.0625,0.270646529821244,0.35430552811390903
dense,C0,1.96,2,0.125,0.2968080409727564,0.3885537707605693
dense,C0,1.96,3,0.1875,0.3243734836365943,0.424639911333498
dense,C0,1.96,4,0.25,0.3514604576089563,0.4600996847310142
dense,C0,1.96,5,0.3125,0.37923334959013616,0.49645739885778184
dense,C0,1.96,6,0.375,0.41064785915623575,0.5375823835734835
dense,C0,1.96,7,0.4375,0.4405075932201567,0.576671999294202
dense,C0,1.96,8,0.5,0.47210632021658694,0.6180381445153947
dense,C0,1.96,9,0.5625,0.5058956252548233,0.6622719929008937
dense,C0,1.96,10,0.625,0.5393219848199021,0.706030706476319
dense,C0,1.96,11,0.6875,0.5744063742628229,0.7519599601724157
dense,C0,1.96,12,0.75,0.6092464294038075,0.7975693538875216
dense,C0,1.96,13,0.8125,0.6470796216575795,0.8470970872398063
dense,C0,1.96,14,0.875,0.6842414701825968,0.8957459591689666
dense,C0,1.96,15,0.9375,0.7222999651140971,0.9455686380513888
dense,C0,1.96,16,1.0,0.7638041297854034,0.9999020706378189
dense,C0,2.0,0,0.0,0.24698428128106623,0.3233290900604543
dense,C0,2.0,1,0.0625,0.27065102390167095,0.35431141135039507
dense,C0,2.0,2,0.125,0.2968129811990485,0.3885602380501612
dense,C0,2.0,3,0.1875,0.32437888617325855,0.4246469838372809
dense,C0,2.0,4,0.25,0.3514663477871098,0.4601073956101551
dense,C0,2.0,5,0.3125,0.37923973105921477,0.4964657528897864
dense,C0,2.0,6,0.375,0.4106547922104787,0.5375914596900205
dense,C0,2.0,7,0.4375,0.44051506909538934,0.5766817860220206
dense,C0,2.0,8,0.5,0.4721143815753153,0.6180486977043215
dense,C0,2.0,9,0.5625,0.5059043073664163,0.6622833587223403
dense,C0,2.0,10,0.625,0.5393313062919998,0.7060429092896954
dense,C0,2.0,11,0.6875,0.5744163865089122,0.7519730672835272
dense,C0,2.0,12,0.75,0.6092571359667005,0.7975833699342915
dense,C0,2.0,13,0.8125,0.6470910633499689,0.8471120656504558
dense,C0,2.0,14,0.875,0.6842536749327304,0.8957619365045874
dense,C0,2.0,15,0.9375,0.7223129457205173,0.9455856310666547
dense,C0,2.0,16,1.0,0.7638179758285671,0.9999201966032198
dense,C0,2.04,0,0.0,0.2469876015890566,0.3233334367020935
dense,C0,2.04,1,0.0625,0.27065468372888957,0.3543162024593605
dense,C0,2.04,2,0.125,0.2968170023957861,0.3885655022308427
dense,C0,2.04,3,0.1875,0.32438328170416,0.424652738061798
dense,C0,2.04,4,0.25,0.3514711385877094,0.4601136672853828
dense,C0,2.04,5,0.3125,0.37924491960799167,0.49647254526032136
dense,C0,2.04,6,0.375,0.41066042734235403,0.537598836686047
dense,C0,2.04,7,0.4375,0.4405211434702226,0.5766897380345023
dense,C0,2.04,8,0.5,0.472120930284896,0.6180572706721995
dense,C0,2.04,9,0.5625,0.5059113584105174,0.6622925893003404
dense,C0,2.04,10,0.625,0.5393388754827315,0.7060528181775773
dense,C0,2.04,11,0.6875,0.5744245156904828,0.7519837092598769
dense,C0,2.04,12,0.75,0.60926582818751,0.797594748989794
dense,C0,2.04,13,0.8125,0.6471003514896831,0.8471242248281435
dense,C0,2.04,14,0.875,0.6842635817094819,0.8957749055449485
dense,C0,2.04,15,0.9375,0.7223234811633683,0.9455994230988146
dense,C0,2.04,16,1.0,0.7638292128901139,0.9999349071300032
dense,C0,2.08,0,0.0,0.24699030934460017,0.3233369814464451
dense,C0,2.08,1,0.0625,0.27065766690627285,0.3543201077606365
dense,C0,2.08,2,0.125,0.29682027850060205,0.3885697910057541
dense,C0,2.08,3,0.1875,0.32438686113892257,0.42465742392835887
dense,C0,2.08,4,0.25,0.3514750386749576,0.4601187729206669
dense,C0,2.08,5,0.3125,0.3792491419576437,0.4964780727718853
dense,C0,2.08,6,0.375,0.41066501153120355,0.5376048378841869
dense,C0,2.08,7,0.4375,0.44052608334669496,0.5766962048661425
dense,C0,2.08,8,0.5,0.47212625475097103,0.6180642409731522
dense,C0,2.08,9,0.5625,0.5059170896731818,0.6623000921419487
dense,C0,2.08,10,0.625,0.5393450269990174,0.706060871176549
dense,C0,2.08,11,0.6875,0.5744311215441689,0.7519923570355584
dense,C0,2.08,12,0.75,0.6092728909994974,0.797603994973228
dense,C0,2.08,13,0.8125,0.6471078977756751,0.8471341037312481
dense,C0,2.08,14,0.875,0.68427162995154,0.8957854415627378
dense,C0,2.08,15,0.9375,0.7223320392064401,0.9456106265011718
dense,C0,2.08,16,1.0,0.7638383402011474,0.9999468557655838
dense,C0,2.12,0,0.0,0.24699251964116775,0.3233398749632886
dense,C0,2.12,1,0.0625,0.27066010081165454,0.35432329400555973
dense,C0,2.12,2,0.125,0.2968229500413063,0.3885732883409711
dense,C0,2.12,3,0.1875,0.32438977866505836,0.42466124328506377
dense,C0,2.12,4,0.25,0.3514782165364062,0.46012293308440355
dense,C0,2.12,5,0.3125,0.3792525811266048,0.4964825750153682
dense,C0,2.12,6,0.375,0.41066874410075677,0.537609724220722
dense,C0,2.12,7,0.4375,0.44053010415815386,0.5767014685424524
dense,C0,2.12,8,0.5,0.4721305876391241,0.6180699131915484
dense,C0,2.12,9,0.5625,0.5059217522315668,0.6623061959342716
dense,C0,2.12,10,0.625,0.5393500306966202,0.7060674215569396
dense,C0,2.12,11,0.6875,0.5744364941667944,0.751999390378635
dense,C0,2.12,12,0.75,0.6092786347986034,0.7976115142263918
dense,C0,2.12,13,0.8125,0.6471140341572669,0.8471421369172712
dense,C0,2.12,14,0.875,0.6842781739532287,0.8957940083674768
dense,C0,2.12,15,0.9375,0.7223389969524823,0.9456197349419398
dense,C0,2.12,16,1.0,0.763845760212325,0.9999565693613229
dense,C0,2.16,0,0.0,0.2469943256018557,0.3233422391608112
dense,C0,2.16,1,0.0625,0.2706620884681352,0.35432589606249193
dense,C0,2.16,2,0.125,0.29682513063353855,0.38857614297163257
dense,C0,2.16,3,0.1875,0.3243921588983383,0.4246643592674111
dense,C0,2.16,4,0.25,0.35148080831230505,0.46012632599887837
dense,C0,2.16,5,0.3125,0.37925538495510314,0.49648624552959014
dense,C0,2.16,6,0.375,0.41067178602226956,0.5376137064244059
dense,C0,2.16,7,0.4375,0.4405333798440888,0.5767057567690035
dense,C0,2.16,8,0.5,0.4721341167707997,0.6180745332059373
dense,C0,2.16,9,0.5625,0.5059255487305632,0.6623111659613501
dense,C0,2.16,10,0.625,0.5393541043504633,0.7060727544096355
dense,C0,2.16,11,0.6875,0.574440867646433,0.7520051157356682
dense,C0,2.16,12,0.75,0.6092833100364377,0.7976176346174827
dense,C0,2.16,13,0.8125,0.647119028452947,0.8471486749895298
dense,C0,2.16,14,0.875,0.6842834995433104,0.8958009801398755
dense,C0,2.16,15,0.9375,0.7223446586071929,0.9456271466592213
dense,C0,2.16,16,1.0,0.7638517975600576,0.9999644729013323
dense,C0,2.2,0,0.0,0.24699580263013857,0.32334417275030203
dense,C0,2.2,1,0.0625,0.2706637132625319,0.3543280230937795
dense,C0,2.2,2,0.125,0.2968269122016731,0.38857847523666916
dense,C0,2.2,3,0.1875,0.32439410262676616,0.42466690381777944
dense,C0,2.2,4,0.25,0.3514829240840087,0.4601290957724695
dense,C0,2.2,5,0.3125,0.3792576729506144,0.49648924076273976
dense,C0,2.2,6,0.375,0.4106742673840299,0.5376169547948524
dense,C0,2.2,7,0.4375,0.4405360509380244,0.576709253519352
dense,C0,2.2,8,0.5,0.47213699386934377,0.6180782996385599
dense,C0,2.2,9,0.5625,0.5059286428346947,0.6623152164777159
dense,C0,2.2,10,0.625,0.5393574238229465,0.7060770999575057
dense,C0,2.2,11,0.6875,0.5744444310011027,0.7520097805516514
dense,C0,2.2,12,0.75,0.6092871189303518,0.7976226208708467
dense,C0,2.2,13,0.8125,0.6471230968826358,0.8471540010032439
dense,C0,2.2,14,0.875,0.6842878374672359,0.8958066589506416
dense,C0,2.2,15,0.9375,0.7223492697314446,0.9456331831187107
dense,C0,2.2,16,1.0,0.7638567142828111,0.9999709094222546
dense,C0,2.24,0,0.0,0.24699701182891567,0.32334575572205343
dense,C0,2.24,1,0.0625,0.27066504273959485,0.35432976352279294
dense,C0,2.24,2,0.125,0.2968283691759448,0.38858038257329425
dense,C0,2.24,3,0.1875,0.32439569142703656,0.4246689837288695
dense,C0,2.24,4,0.25,0.351484652927142,0.46013135901478697
dense,C0,2.24,5,0.3125,0.3792595417875679,0.49649168727208237
dense,C0,2.24,6,0.375,0.4106762933914301,0.5376196070572788
dense,C0,2.24,7,0.4375,0.4405382310632962,0.5767121075387118
dense,C0,2.24,8,0.5,0.4721393415835361,0.6180813730499106
dense,C0,2.24,9,0.5625,0.5059311668175742,0.6623185206438089
dense,C0,2.24,10,0.625,0.5393601312279387,0.7060806442429477
dense,C0,2.24,11,0.6875,0.5744473369607274,0.7520135847665445
dense,C0,2.24,12,0.75,0.6092902248642494,0.7976266868736535
dense,C0,2.24,13,0.8125,0.6471264141277517,0.8471583436352498
dense,C0,2.24,14,0.875,0.6842913741290444,0.8958112888227876
dense,C0,2.24,15,0.9375,0.7223530286809248,0.9456381039894183
dense,C0,2.24,16,1.0,0.7638607220341534,0.999976156001462
dense,C0,2.2800000000000002,0,0.0,0.24699800275209682,0.3233470529474834
dense,C0,2.2800000000000002,1,0.0625,0.2706661316546498,0.3543311890301655
dense,C0,2.2800000000000002,2,0.125,0.296829561868309,0.388581943936369
dense,C0,2.2800000000000002,3,0.1875,0.3243969913767025,0.4246706855033324
dense,C0,2.2800000000000002,4,0.25,0.35148606697423207,0.4601332101550967
dense,C0,2.2800000000000002,5,0.3125,0.37926106972806384,0.49649368751115697
dense,C0,2.2800000000000002,6,0.375,0.4106779491890434,0.5376217746751242
dense,C0,2.2800000000000002,7,0.4375,0.4405400121526491,0.5767144391769716
dense,C0,2.2800000000000002,8,0.5,0.47214125913055816,0.618083883325992
dense,C0,2.2800000000000002,9,0.5625,0.5059332276587717,0.6623212185074369
dense,C0,2.2800000000000002,10,0.625,0.5393623414885834,0.7060835377127642
dense,C0,2.2800000000000002,11,0.6875,0.5744497090208688,0.752016690049371
dense,C0,2.2800000000000002,12,0.75,0.6092927599389898,0.79763000556019
dense,C0,2.2800000000000002,13,0.8125,0.6471291214104676,0.8471618877606188
dense,C0,2.2800000000000002,14,0.875,0.684294260217815,0.8958150670245874
dense,C0,2.2800000000000002,15,0.9375,0.7223560957924028,0.9456421191694863
