configuration,level_index,level_label,level_name,node,proxy_kernel,neural_reference,neural_ci99_lower,neural_ci99_upper,signed_log_error,signed_log_error_ci99_lower,signed_log_error_ci99_upper,absolute_log_error,absolute_log_error_ci99_lower,absolute_log_error_ci99_upper,previous_level,transition_margin,transition_margin_ci99_lower,transition_margin_ci99_upper,bootstrap_probability_margin_gt_zero,central_improves_vs_previous
A,3,M3,zero_radau_2node_3moments_upper,0.75,105.76344117214964,101.56330785018189,97.77872337701214,105.49437694843037,0.04052258642259094,0.003734383284516261,0.07738831644762202,0.04052258642259094,0.004342768015323922,0.07738831644762202,M2,-0.016477318029759856,-0.016477318029760102,0.009008551460727496,0.0112,False
A,3,M3,zero_radau_2node_3moments_upper,0.9,124.38962984109529,118.88471115262467,114.74607174889996,123.17262221204106,0.04526460575975989,0.012044361560140873,0.07942449233830454,0.04526460575975989,0.01209372930125092,0.07942449233830454,M2,-0.03445118711627838,-0.03445118711627865,0.010362463995996746,0.0158,False
A,3,M3,zero_radau_2node_3moments_upper,0.95,131.22895341419596,125.20029100270101,120.85514199717606,129.70166273543646,0.04702875070802522,0.014436502815862973,0.0811830022030368,0.04702875070802522,0.014436502815862973,0.0811830022030368,M2,-0.04228586286108588,-0.04228586286108611,0.013412857229359997,0.02235,False
M,0,M0,ntk_0moments_lower,0.5,195.0,220.12213061803934,207.05716803453873,234.01147058933373,-0.12118297292877396,-0.18211762031794984,-0.06376589825237472,0.12118297292877396,0.06376589825237473,0.18211762031794987,,,,,,
M,0,M0,ntk_0moments_lower,0.75,195.0,255.43930381608305,242.63746424779868,268.91658358005276,-0.26998526440876147,-0.32261771469043843,-0.22247083574943918,0.26998526440876147,0.22247083574943918,0.3226177146904385,,,,,,
M,0,M0,ntk_0moments_lower,0.9,195.0,282.29165783924765,269.40961857301994,295.7896622537711,-0.3699412255656469,-0.4180940737628223,-0.3268477690121774,0.3699412255656469,0.3268477690121775,0.4180940737628223,,,,,,
M,0,M0,ntk_0moments_lower,0.95,195.0,291.9538478493785,278.9200302063214,305.59673039977406,-0.40359617590213054,-0.4503428094670419,-0.3614432934394469,0.40359617590213054,0.361443293439447,0.45034280946704197,,,,,,
M,1,M1,zero_radau_1node_1moments_upper,0.5,227.69270216962525,220.12213061803934,207.05716803453873,234.01147058933373,0.03381439086428033,-0.027120256524895508,0.09123146554067951,0.03381439086428033,0.0004956090166486634,0.09123146554067951,M0,0.08736858206449363,-0.02746556728830477,0.15499736379305434,0.97675,True
M,1,M1,zero_radau_1node_1moments_upper,0.75,268.5585798816568,255.43930381608305,242.63746424779868,268.91658358005276,0.050084241785591156,-0.002548208496085959,0.09759867044491331,0.050084241785591156,0.0036048049798159607,0.09759867044491331,M0,0.21990102262317032,0.1248721653045259,0.3200695061943524,1.0,True
M,1,M1,zero_radau_1node_1moments_upper,0.9,300.9243550295858,282.29165783924765,269.40961857301994,295.7896622537711,0.06391813684121368,0.01576528864403837,0.1070115933946833,0.06391813684121368,0.01576528864403837,0.1070115933946833,M0,0.30602308872443323,0.21983617561749433,0.402328785118784,1.0,True
M,1,M1,zero_radau_1node_1moments_upper,0.95,313.02065483234713,291.9538478493785,278.9200302063214,305.59673039977406,0.0696734437767428,0.0229268102118315,0.11182632623942647,0.0696734437767428,0.0229268102118315,0.11182632623942647,M0,0.33392273212538776,0.24961696720002058,0.42741599925521057,1.0,True
M,2,M2,gauss_1node_2moments_lower,0.5,226.80110385039586,220.12213061803934,207.05716803453873,234.01147058933373,0.02989090741446958,-0.031043739974706195,0.08730798209086889,0.02989090741446958,0.0003559238789643417,0.08730798209086889,M1,0.003923483449810746,-0.0039234834498107565,0.003923483449810881,0.9189,True
