configuration,node,level_index,level_label,level_name,proxy_kernel,neural_reference_n4096,neural_reference_n8192,log_k8192_over_k4096,log_ratio_ci99_lower,log_ratio_ci99_upper,absolute_log_error_n4096,absolute_log_error_n4096_ci99_lower,absolute_log_error_n4096_ci99_upper,absolute_log_error_n8192,absolute_log_error_n8192_ci99_lower,absolute_log_error_n8192_ci99_upper,error_change_n8192_minus_n4096,error_change_ci99_lower,error_change_ci99_upper,bootstrap_probability_error_decreases
M,0.5,1,M1,zero_radau_1node_1moments_upper,227.69270216962525,220.12213061803934,223.10023593268784,0.013438627465298525,-0.04517075550640841,0.06448476602030154,0.03381439086428033,0.0004956090166486634,0.09123146554067951,0.0203757633989817,0.00032638123535930864,0.0507088197892885,-0.013438627465298628,-0.06448450856525643,0.030639612907445567,0.7649
M,0.75,1,M1,zero_radau_1node_1moments_upper,268.5585798816568,255.43930381608305,260.0858772344993,0.018027050562722108,-0.03212471343797595,0.06157704570146981,0.050084241785591156,0.0036048049798159607,0.09759867044491331,0.03205719122286899,0.00569196718617352,0.05703414544868714,-0.018027050562722163,-0.061577045701469796,0.02982562700430297,0.8393
M,0.9,1,M1,zero_radau_1node_1moments_upper,300.9243550295858,282.29165783924765,288.24474191741297,0.020869133456739044,-0.024998125558027565,0.06098383938687557,0.06391813684121368,0.01576528864403837,0.1070115933946833,0.04304900338447448,0.019000149050778105,0.06507912291069315,-0.0208691334567392,-0.06098383938687545,0.024855642327457506,0.8877
M,0.95,1,M1,zero_radau_1node_1moments_upper,313.02065483234713,291.9538478493785,298.4989022963961,0.02217052096100986,-0.022848601813121285,0.06202214261284578,0.0696734437767428,0.0229268102118315,0.11182632623942647,0.04750292281573304,0.024192387291350845,0.06847769620237189,-0.022170520961009757,-0.062022142612845846,0.022848601813121573,0.90415
M,0.5,2,M2,gauss_1node_2moments_lower,226.80110385039586,220.12213061803934,223.10023593268784,0.013438627465298525,-0.04517075550640841,0.06448476602030154,0.02989090741446958,0.0003559238789643417,0.08730798209086889,0.016452279949171075,0.0002084951360528204,0.04678533633947771,-0.013438627465298506,-0.06435972294005012,0.028631423630460777,0.77085
M,0.75,2,M2,gauss_1node_2moments_lower,264.19366386903476,255.43930381608305,260.0858772344993,0.018027050562722108,-0.03212471343797595,0.06157704570146981,0.0336975865004857,0.0005645897698006488,0.08121201515980792,0.015670535937763665,0.00021094597228388142,0.040647490163581816,-0.01802705056272204,-0.061577045701469726,0.022581468598698393,0.8466
M,0.9,2,M2,gauss_1node_2moments_lower,292.10356971765805,282.29165783924765,288.24474191741297,0.020869133456739044,-0.024998125558027565,0.06098383938687557,0.03416764606486881,0.0006391952034500619,0.0772611026183384,0.013298512608129752,0.0001527602221849582,0.035328632134348226,-0.020869133456739054,-0.06076848781769906,0.01793637733891897,0.8893
M,0.95,2,M2,gauss_1node_2moments_lower,302.1733679404027,291.9538478493785,298.4989022963961,0.02217052096100986,-0.022848601813121285,0.06202214261284578,0.034405184223948074,0.0005776121431624114,0.0765580666866319,0.012234663262938279,0.00013956673307032792,0.0332094366495771,-0.022170520961009795,-0.061832414574989725,0.016327571919037255,0.9047
M,0.5,3,M3,zero_radau_2node_3moments_upper,226.87239848268072,220.12213061803934,223.10023593268784,0.013438627465298525,-0.04517075550640841,0.06448476602030154,0.03020520671784583,0.00037448717816643767,0.087622281394245,0.01676657925254729,0.00017839279283952996,0.0470996356428539,-0.013438627465298541,-0.06435966690729303,0.02885493256424108,0.7707
M,0.75,3,M3,zero_radau_2node_3moments_upper,264.88782687553106,255.43930381608305,260.0858772344993,0.018027050562722108,-0.03212471343797595,0.06157704570146981,0.036321618589859696,0.0007190545169510813,0.08383604724918195,0.01829456802713756,0.000270965007814055,0.0432715222529556,-0.018027050562722136,-0.06157704570146976,0.024198670346693974,0.8451
M,0.9,3,M3,zero_radau_2node_3moments_upper,293.95351972598553,282.29165783924765,288.24474191741297,0.020869133456739044,-0.024998125558027565,0.06098383938687557,0.04048087454065383,0.0014072019906454605,0.08357433109412339,0.019611741083914665,0.0005251895523457128,0.04164186061013327,-0.020869133456739162,-0.06098383938687556,0.0207145762676702,0.8901
M,0.95,3,M3,zero_radau_2node_3moments_upper,304.6307990376971,291.9538478493785,298.4989022963961,0.02217052096100986,-0.022848601813121285,0.06202214261284578,0.04250481394235942,0.0025233136794275603,0.08465769640504307,0.020334292981349672,0.0007181357009718348,0.04130906636798859,-0.02217052096100975,-0.06202214261284593,0.01982895046793475,0.90595
M,0.5,4,M4,gauss_2node_4moments_lower,226.8697750923549,220.12213061803934,223.10023593268784,0.013438627465298525,-0.04517075550640841,0.06448476602030154,0.03019364336544609,0.00036535375875956897,0.08761071804184528,0.016755015900147316,0.00018099073306228575,0.047088072290454204,-0.013438627465298773,-0.06435972294004996,0.028854932564241213,0.7707
M,0.75,4,M4,gauss_2node_4moments_lower,264.83726089787604,255.43930381608305,260.0858772344993,0.018027050562722108,-0.03212471343797595,0.06157704570146981,0.0361307045517077,0.0006882313230953287,0.08364513321103002,0.01810365398898571,0.00026174752457015164,0.04308060821480383,-0.01802705056272199,-0.06157704570146981,0.02408394615233126,0.84545
