epsilon,group,horizon,minimum_order,run_id
0.001,refinement,4.0,2,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p01
0.0001,refinement,4.0,3,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p01
1e-05,refinement,4.0,3,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p01
0.01,refinement,8.0,1,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p01
0.001,refinement,8.0,2,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p01
0.0001,refinement,8.0,3,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p01
1e-05,refinement,8.0,3,refinement_n64_L16_s4_sw0p65_A1_g1_r0_dt0p01
0.01,restart,4.0,0,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.001,restart,4.0,1,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.0001,restart,4.0,1,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
1e-05,restart,4.0,2,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.01,restart,8.0,0,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.001,restart,8.0,1,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.0001,restart,8.0,1,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
1e-05,restart,8.0,2,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.01,restart,16.0,0,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.001,restart,16.0,1,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.0001,restart,16.0,1,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
1e-05,restart,16.0,2,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.01,restart,32.0,0,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.001,restart,32.0,1,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.0001,restart,32.0,1,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
1e-05,restart,32.0,2,restart_n64_L16_s13_sw0p65_A1_g1_r1_dt0p02
0.01,restart,4.0,0,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.001,restart,4.0,1,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.0001,restart,4.0,2,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
1e-05,restart,4.0,2,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.01,restart,8.0,0,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.001,restart,8.0,1,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.0001,restart,8.0,2,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
1e-05,restart,8.0,2,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.01,restart,16.0,0,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.001,restart,16.0,1,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.0001,restart,16.0,2,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
1e-05,restart,16.0,2,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.01,restart,32.0,0,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.001,restart,32.0,1,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.0001,restart,32.0,2,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
1e-05,restart,32.0,2,restart_n64_L16_s14_sw0p65_A1_g1_r1_dt0p02
0.01,stress,4.0,1,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.001,stress,4.0,2,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.0001,stress,4.0,3,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
1e-05,stress,4.0,,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.01,stress,8.0,1,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.001,stress,8.0,2,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.0001,stress,8.0,3,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
1e-05,stress,8.0,,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.01,stress,16.0,1,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.001,stress,16.0,2,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.0001,stress,16.0,3,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
1e-05,stress,16.0,,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.01,stress,32.0,1,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.001,stress,32.0,2,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.0001,stress,32.0,3,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
1e-05,stress,32.0,,stress_n64_L16_s10_sw1p2_A1_g1_r0_dt0p02
0.01,stress,4.0,1,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.001,stress,4.0,2,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.0001,stress,4.0,3,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
1e-05,stress,4.0,,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.01,stress,8.0,1,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.001,stress,8.0,2,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.0001,stress,8.0,3,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
1e-05,stress,8.0,,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.01,stress,16.0,1,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.001,stress,16.0,2,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.0001,stress,16.0,3,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
1e-05,stress,16.0,,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.01,stress,32.0,1,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.001,stress,32.0,2,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.0001,stress,32.0,3,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
1e-05,stress,32.0,,stress_n64_L16_s9_sw1p2_A1_g1_r0_dt0p02
0.01,width,4.0,1,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.001,width,4.0,2,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.0001,width,4.0,3,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
1e-05,width,4.0,3,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.01,width,8.0,1,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.001,width,8.0,2,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.0001,width,8.0,3,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
1e-05,width,8.0,3,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.01,width,16.0,1,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.001,width,16.0,2,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.0001,width,16.0,3,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
1e-05,width,16.0,3,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.01,width,32.0,1,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
0.001,width,32.0,2,width_n32_L16_s7_sw0p65_A1_g1_r0_dt0p02
