source,case_id,fractional_loss_progress,depth_index,depth_fraction,gram_increment_fro,progress_path_scale,terminal_loss_reduction_fraction
PDE,C0,0.11,9,0.5625,0.004205135159464138,0.4853351268197654,1.0
PDE,C0,0.11,10,0.625,0.004428470176782732,0.4853351268197654,1.0
PDE,C0,0.11,11,0.6875,0.0046549336106588585,0.4853351268197654,1.0
PDE,C0,0.11,12,0.75,0.004884527672196719,0.4853351268197654,1.0
PDE,C0,0.11,13,0.8125,0.005117254591626084,0.4853351268197654,1.0
PDE,C0,0.11,14,0.875,0.005353116618323353,0.4853351268197654,1.0
PDE,C0,0.11,15,0.9375,0.005592116020827379,0.4853351268197654,1.0
PDE,C0,0.11,16,1.0,0.005834255086860761,0.4853351268197654,1.0
PDE,C0,0.12,0,0.0,0.002547865484126848,0.4853351268197654,1.0
PDE,C0,0.12,1,0.0625,0.00276089343452415,0.4853351268197654,1.0
PDE,C0,0.12,2,0.125,0.002977313429606862,0.4853351268197654,1.0
PDE,C0,0.12,3,0.1875,0.0031971276945941805,0.4853351268197654,1.0
PDE,C0,0.12,4,0.25,0.003420338475394827,0.4853351268197654,1.0
PDE,C0,0.12,5,0.3125,0.003646948038623,0.4853351268197654,1.0
PDE,C0,0.12,6,0.375,0.003876958671620546,0.4853351268197654,1.0
PDE,C0,0.12,7,0.4375,0.004110372682476145,0.4853351268197654,1.0
PDE,C0,0.12,8,0.5,0.0043471924000435735,0.4853351268197654,1.0
PDE,C0,0.12,9,0.5625,0.004587420173960976,0.4853351268197654,1.0
PDE,C0,0.12,10,0.625,0.004831058374672043,0.4853351268197654,1.0
PDE,C0,0.12,11,0.6875,0.005078109393446096,0.4853351268197654,1.0
PDE,C0,0.12,12,0.75,0.005328575642396298,0.4853351268197654,1.0
PDE,C0,0.12,13,0.8125,0.00558245955450134,0.4853351268197654,1.0
PDE,C0,0.12,14,0.875,0.005839763583625497,0.4853351268197654,1.0
PDE,C0,0.12,15,0.9375,0.006100490204538899,0.4853351268197654,1.0
PDE,C0,0.12,16,1.0,0.006364641912939124,0.4853351268197654,1.0
PDE,C0,0.13,0,0.0,0.0027601876078040422,0.4853351268197654,1.0
PDE,C0,0.13,1,0.0625,0.0029909678874011076,0.4853351268197654,1.0
PDE,C0,0.13,2,0.125,0.0032254228820741025,0.4853351268197654,1.0
PDE,C0,0.13,3,0.1875,0.0034635550024770543,0.4853351268197654,1.0
PDE,C0,0.13,4,0.25,0.003705366681677897,0.4853351268197654,1.0
PDE,C0,0.13,5,0.3125,0.003950860375174873,0.4853351268197654,1.0
PDE,C0,0.13,6,0.375,0.004200038560922273,0.4853351268197654,1.0
PDE,C0,0.13,7,0.4375,0.004452903739349201,0.4853351268197654,1.0
PDE,C0,0.13,8,0.5,0.004709458433380554,0.4853351268197654,1.0
PDE,C0,0.13,9,0.5625,0.004969705188457548,0.4853351268197654,1.0
PDE,C0,0.13,10,0.625,0.005233646572561405,0.4853351268197654,1.0
PDE,C0,0.13,11,0.6875,0.0055012851762332015,0.4853351268197654,1.0
PDE,C0,0.13,12,0.75,0.00577262361259605,0.4853351268197654,1.0
PDE,C0,0.13,13,0.8125,0.006047664517376293,0.4853351268197654,1.0
PDE,C0,0.13,14,0.875,0.006326410548927484,0.4853351268197654,1.0
PDE,C0,0.13,15,0.9375,0.006608864388250445,0.4853351268197654,1.0
PDE,C0,0.13,16,1.0,0.006895028739017317,0.4853351268197654,1.0
PDE,C0,0.14,0,0.0,0.002972509731481236,0.4853351268197654,1.0
PDE,C0,0.14,1,0.0625,0.003221042340278102,0.4853351268197654,1.0
PDE,C0,0.14,2,0.125,0.0034735323345412546,0.4853351268197654,1.0
PDE,C0,0.14,3,0.1875,0.003729982310359939,0.4853351268197654,1.0
PDE,C0,0.14,4,0.25,0.003990394887960796,0.4853351268197654,1.0
PDE,C0,0.14,5,0.3125,0.004254772711726843,0.4853351268197654,1.0
PDE,C0,0.14,6,0.375,0.004523118450224,0.4853351268197654,1.0
PDE,C0,0.14,7,0.4375,0.00479543479622223,0.4853351268197654,1.0
PDE,C0,0.14,8,0.5,0.005071724466717508,0.4853351268197654,1.0
PDE,C0,0.14,9,0.5625,0.005351990202954315,0.4853351268197654,1.0
PDE,C0,0.14,10,0.625,0.005636234770450679,0.4853351268197654,1.0
PDE,C0,0.14,11,0.6875,0.0059244609590203764,0.4853351268197654,1.0
PDE,C0,0.14,12,0.75,0.006216671582795693,0.4853351268197654,1.0
PDE,C0,0.14,13,0.8125,0.006512869480251441,0.4853351268197654,1.0
